subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes
leg,machined,01_m03_shaft,m03 shaft,,,,,,2,,92.77,,CNC,,,,"Quoted lot price 92.77 does not divide evenly by 2; a unit cost to the cent cannot be derived from the source sheet. QUANTITY CONFLICT: the source part name says _x3 but the source quantity column says 2. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Subassembly read from the 01-22 leg series this row sits in. Source part ID: 01_m03_shaft_x3."
leg,machined,02_hip_0_m04_back_bracket,hip 0 m04 back bracket,,,,,,2,79.97,159.94,,CNC,,,,"Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 02_hip_0_m04_back_bracket_x2."
leg,machined,03_hip_1_m04_front_retainer,hip 1 m04 front retainer,,,,,,1,54.29,54.29,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 03_hip_1_m04_front_retainer_x2."
leg,machined,04_hip_1_m04_shaft,hip 1 m04 shaft,,,,,,1,41.28,41.28,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 04_hip_1_m04_shaft_x2."
leg,machined,05_hip_1_front_bracket,hip 1 front bracket,,,,,,1,49.62,49.62,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 05_hip_1_front_bracket_x2."
leg,machined,06_hip_1_back_bracket,hip 1 back bracket,,,,,,1,70.42,70.42,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 06_hip_1_back_bracket_x2."
leg,machined,07_hip_1_front_shaft,hip 1 front shaft,,,,,,1,38.04,38.04,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 07_hip_1_front_shaft_x2."
leg,machined,08_hip_1_back_shaft,hip 1 back shaft,,,,,,1,37.93,37.93,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 08_hip_1_back_shaft_x2."
leg,machined,09_hip_2_back_cover,hip 2 back cover,,,,,,1,63.00,63.00,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 09_hip_2_back_cover_x2."
leg,machined,10_m03_front_retainer,m03 front retainer,,,,,,1,40.06,40.06,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Subassembly read from the 01-22 leg series this row sits in. Source part ID: 10_m03_front_retainer_x2."
leg,machined,11_knee_m04_front_retainer,knee m04 front retainer,,,,,,1,48.44,48.44,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 11_knee_m04_front_retainer_x2."
leg,machined,12_knee_m04_back_cover,knee m04 back cover,,,,,,1,72.92,72.92,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 12_knee_m04_back_cover_x2."
leg,machined,13_knee_front_shaft,knee front shaft,,,,,,1,60.82,60.82,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 13_knee_front_shaft_x2."
leg,machined,14_knee_back_shaft,knee back shaft,,,,,,1,59.48,59.48,,CNC,,,,"QUANTITY CONFLICT: the source part name says _x2 but the source quantity column says 1. The quantity here is the lot the price was quoted for; the per-robot quantity is unverified. Legacy numbering from the single-leg test rig; not yet reconciled with the CNC_* scheme. May be an older name for a current part, or a part that is no longer used. Needs a CAD cross-check before ordering. Source part ID: 14_knee_back_shaft_x2."
